level,program,category,ay,tuition,one_time,total,currency,source_file
UG,ALL,Indian,2025-26,,,"173,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"210,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"195,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"198,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"198,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"310,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"315,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"110,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"77,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"90,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"95,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"90,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"95,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"127,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"132,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"90,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"95,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"99,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"104,000",INR,Academic Fee.pdf
UG,ALL,Indian,2025-26,,,"133,000",INR,Academic Fee.pdf
